品牌名称,品牌ID,能源类型,车系名称,车系ID,标签,批发价,报价,官方指导价,是否享受补贴,补贴价,懂车分,车辆照片,dt
几何汽车,264,纯电,几何G6,6080,,14.98-18.68万,15.28-17.48万,14.98万,TRUE,14.98-18.68万,0,http://p3-dcd.byteimg.com/img/tos-cn-i-0000c0030/81316967e431458da0c6c88167e31a19~tplv-resize:640:0.png,2023/1/5
雷丁,282,纯电,芒果,4689,微型轿车销量NO.7,4.69-7.39万,暂无报价,4.69万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/7f1923e3ec0a4be69ce4a72dfefe6ed7~tplv-resize:640:0.png,2023/1/5
零跑汽车,207,纯电,零跑S01,1934,,12.99-14.99万,暂无报价,12.99万,TRUE,12.99-14.99万,3.28,http://p1-dcd.byteimg.com/img/motor-img/3b318ce984dc799f5fe64c2b8a74b54d~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,比亚迪D1,4638,紧凑型MPV销量NO.11,15.78-16.78万,暂无报价,15.78万,TRUE,15.78-16.78万,3.62,http://p3-dcd.byteimg.com/img/motor-img/16a73f90c37db0a802139dd3bcb55a8b~tplv-resize:640:0.png,2023/1/5
奇瑞新能源,461,纯电,无界Pro,5888,微型轿车销量NO.10,8.99-11.59万,8.99-11.29万,8.99万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/531ff72a8592465a87048f5b5d1bb8fa~tplv-resize:640:0.png,2023/1/5
雷克萨斯,22,纯电,雷克萨斯UX EV,4281,,36.20-38.50万,暂无报价,36.20万,FALSE,暂无报价,3.7,http://p1-dcd.byteimg.com/img/motor-img/4765b61932b59e12064a9bf98154f0f6~tplv-resize:640:0.png,2023/1/5
Polestar极星,196,纯电,Polestar 2,3166,,29.98-35.88万,暂无报价,29.98万,FALSE,暂无报价,4,http://p1-dcd.byteimg.com/img/motor-img/a37677a533fb3109e4502068cbf7c443~tplv-resize:640:0.png,2023/1/5
前途,149,纯电,前途K50,1139,,75.43万,暂无报价,75.43万,FALSE,暂无报价,3.58,http://p1-dcd.byteimg.com/img/motor-img/b0378f52b622d1d88574e059d5ca6163~tplv-resize:640:0.png,2023/1/5
沃尔沃,24,纯电,沃尔沃C40 RECHARGE,4924,,28.90-33.90万,26.70-32.80万,28.90万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/a33abe2401429de388c10fa422965b66~tplv-resize:640:0.png,2023/1/5
合创汽车,303,纯电,合创A06,6069,,17.98-26.98万,18.00-27.00万,17.98万,TRUE,17.98-26.98万,0,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4f16638669b440978df64c45543fb9cc~tplv-resize:640:0.png,2023/1/5
奔腾,27,纯电,奔腾NAT,4861,紧凑型MPV销量NO.2,14.78-16.48万,暂无报价,14.78万,TRUE,14.78-16.48万,0,http://p1-dcd.byteimg.com/img/motor-img/86e59b68321279091b353bb89ec0d411~tplv-resize:640:0.png,2023/1/5
宝马,4,纯电,宝马iX,3023,,74.69-99.69万,暂无报价,74.69万,FALSE,暂无报价,4.15,http://p1-dcd.byteimg.com/img/motor-img/2305ca6d1b718c100e03f60d9e3c131a~tplv-resize:640:0.png,2023/1/5
长安,35,纯电,逸动EV,1456,,14.99-15.99万,暂无报价,14.99万,FALSE,暂无报价,3.58,http://p1-dcd.byteimg.com/img/motor-img/436afddc96adbf1bea9ad5e693d13a35~tplv-resize:640:0.png,2023/1/5
凌宝汽车,384,纯电,凌宝BOX,4503,微型轿车销量NO.8,4.18-6.88万,暂无报价,4.18万,FALSE,暂无报价,0,http://p9-dcd.byteimg.com/img/tos-cn-i-0000c0030/ac2c0e0e38e9475594f2037520b662b3~tplv-resize:640:0.png,2023/1/5
红旗,59,纯电,红旗E-HS3,2861,,22.58-26.58万,暂无报价,22.58万,TRUE,22.58-26.58万,3.72,http://p1-dcd.byteimg.com/img/motor-img/aeb1737f0f84e056a8e71d440b1a3b24~tplv-resize:640:0.png,2023/1/5
东风风神,37,纯电,东风风神E70,1655,纯电动销量NO.14,14.28-15.38万,暂无报价,14.28万,TRUE,14.28-15.38万,3.49,http://p3-dcd.byteimg.com/img/motor-img/3645e5106165def002a7ab1f2300c71c~tplv-resize:640:0.png,2023/1/5
奥迪,2,纯电,奥迪e-tron,4543,,43.74-51.90万,暂无报价,54.68万,FALSE,暂无报价,4.05,http://p1-dcd.byteimg.com/img/motor-img/e8587b667f120eb9f0f98d11371b8b74~tplv-resize:640:0.png,2023/1/5
合创汽车,303,纯电,合创Z03,5089,,13.48-18.28万,暂无报价,13.48万,FALSE,暂无报价,3.6,http://p1-dcd.byteimg.com/img/motor-img/c0c1beb8a27bc758d3f36806191a31d8~tplv-resize:640:0.png,2023/1/5
三菱,26,纯电,阿图柯AIRTREK,5121,,19.98-22.98万,21.00-24.00万,19.98万,TRUE,19.98-22.98万,3.75,http://p1-dcd.byteimg.com/img/motor-img/2958af94a6ade6609dc6fe35d80327fb~tplv-resize:640:0.png,2023/1/5
欧拉,238,纯电,欧拉好猫GT,5269,,14.90-16.90万,暂无报价,14.90万,FALSE,暂无报价,3.68,http://p1-dcd.byteimg.com/img/motor-img/9818f408968d5e7d5d56a24c184da24f~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,比亚迪e3,4076,,15.48万,暂无报价,15.48万,FALSE,暂无报价,0,http://p9-dcd.byteimg.com/img/motor-img/993f74dfdbd9feb7e14875c014b44163~tplv-resize:640:0.png,2023/1/5
腾势,159,纯电,腾势D9 EV,5842,,38.98-45.98万,39.00-46.00万,38.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/9b42e466a7ce2f10e9fdf079dedd23c1~tplv-resize:640:0.png,2023/1/5
路特斯,85,纯电,Evija,3760,,2188.00万,暂无报价,2188.00万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/b2e9eeb3ce48d48a787cc8e5eaab325b~tplv-resize:640:0.png,2023/1/5
大力牛魔王,551,纯电,大力牛魔王01,6286,全新车系,2.88-3.78万,暂无报价,暂无报价,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ddfcd91316454ba3a6f9c9523d3adca8~tplv-resize:640:0.png,2023/1/5
沙龙汽车,478,纯电,机甲龙,5464,,48.80万,暂无报价,48.80万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/96c4bb88b676a0422142af6366519dbd~tplv-resize:640:0.png,2023/1/5
睿蓝汽车,381,纯电,枫叶60s,5151,,7.98-14.98万,14.18-17.18万,7.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/22ab00035ad9fd4ac71b8baf75aa7293~tplv-resize:640:0.png,2023/1/5
五菱汽车,39,纯电,五菱缤果,6266,即将上市,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/4804a6ed9faa4a7fafb93997d085cd92~tplv-resize:640:0.png,2023/1/5
几何汽车,264,纯电,几何M6,6081,,14.48-18.18万,15.28-17.48万,14.98万,TRUE,14.98-18.68万,0,http://p1-dcd.byteimg.com/img/motor-img/83c8ee7c79a3f33e111a6de8c54e21bc~tplv-resize:640:0.png,2023/1/5
雷丁,282,纯电,芒果Pro,5525,,3.98-5.99万,3.98-5.99万,3.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/006d1d65e748edc14d9f95a07b4d7281~tplv-resize:640:0.png,2023/1/5
福特,7,纯电,领界EV,3367,,17.98-19.28万,19.90-22.30万,17.98万,TRUE,17.98-19.28万,0,http://p1-dcd.byteimg.com/img/motor-img/f69c69ea482582b16f04027993b31377~tplv-resize:640:0.png,2023/1/5
睿蓝汽车,381,纯电,睿蓝9,6003,全新车系,16.99-19.99万,暂无报价,16.99万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/7575b7c9d59f478391ec644c2ae07201~tplv-resize:640:0.png,2023/1/5
恒驰,399,纯电,恒驰5,4678,,17.90万,17.90万,17.90万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/f6a394d645f3d8c62b651f935b3d7000~tplv-resize:640:0.png,2023/1/5
比亚迪,16,纯电,海狮,6068,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p9-dcd.byteimg.com/img/motor-img/42341549ad1e029a5fd70ec4b0a9f85c~tplv-resize:640:0.png,2023/1/5
思铭,105,纯电,东风本田M-NV,4585,,11.88-12.88万,暂无报价,14.98万,TRUE,14.98-15.98万,3.54,http://p1-dcd.byteimg.com/img/motor-img/b20ad2749ca184a995d7d9b88d20b147~tplv-resize:640:0.png,2023/1/5
丰田,5,纯电,丰田C-HR EV,3338,,18.38-20.78万,暂无报价,22.58万,TRUE,22.58-24.98万,3.63,http://p1-dcd.byteimg.com/img/motor-img/2527b344582b3625823947122543bf78~tplv-resize:640:0.png,2023/1/5
荣威,36,纯电,荣威iMAX8 EV,5818,中大型MPV销量NO.14,25.98-35.98万,27.98-32.98万,25.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/437bbdefa5344103969bdbec57eb38d7~tplv-resize:640:0.png,2023/1/5
沃尔沃,24,纯电,沃尔沃XC40 RECHARGE,4738,,27.99-31.90万,暂无报价,27.99万,FALSE,暂无报价,3.81,http://p1-dcd.byteimg.com/img/motor-img/31d2b6da640b935204b7bfc42e4206a2~tplv-resize:640:0.png,2023/1/5
荣威,36,纯电,荣威Ei5,1760,,14.48-15.88万,暂无报价,14.48万,TRUE,14.48-15.88万,3.52,http://p1-dcd.byteimg.com/img/motor-img/f44c223bbfe4ddf0d92ef89139ae89bd~tplv-resize:640:0.png,2023/1/5
睿蓝汽车,381,纯电,枫叶80v,4688,紧凑型MPV销量NO.3,8.98-15.98万,暂无报价,8.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/7686d8b65af80d29a3f9525a4ae15ecf~tplv-resize:640:0.png,2023/1/5
大运,372,纯电,悦虎,4388,小型SUV销量NO.8,7.18-8.28万,暂无报价,7.18万,TRUE,7.18-7.78万,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/4cb405311c764086a0d15d1079607651~tplv-resize:640:0.png,2023/1/5
广汽集团,237,纯电,广汽丰田iA5,4087,,15.98-19.28万,暂无报价,15.98万,FALSE,暂无报价,3.63,http://p1-dcd.byteimg.com/img/motor-img/d615385354694acde6298b463af5aba7~tplv-resize:640:0.png,2023/1/5
奔驰,3,纯电,奔驰EQS AMG,5171,,154.70万,暂无报价,154.70万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/9c35782a2db317fd0c2e33544f2416a7~tplv-resize:640:0.png,2023/1/5
集度汽车,489,纯电,ROBO-01,5967,,39.98万,暂无报价,39.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/02312c607015b88b38ed5318a3e02664~tplv-resize:640:0.png,2023/1/5
东风风光,95,纯电,风光MINIEV,5389,微型轿车销量NO.16,3.26-5.56万,2.86-4.16万,3.26万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/d7c240b7c803e1ce776dddab51d26248~tplv-resize:640:0.png,2023/1/5
上汽大通MAXUS,108,纯电,上汽大通MAXUS MIFA 9,5063,2023新款,26.99-41.99万,27.99万,26.99万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/149f3cd713fb650b0414ba133fad555a~tplv-resize:640:0.png,2023/1/5
别克,12,纯电,微蓝7,4378,,19.78-21.78万,暂无报价,19.78万,TRUE,18.77-20.77万,3.61,http://p3-dcd.byteimg.com/img/motor-img/e3c9e58761031482824d91d0d05d3590~tplv-resize:640:0.png,2023/1/5
捷尼赛思,273,纯电,捷尼赛思GV70 EV,5454,,38.58-43.98万,暂无报价,38.58万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/126301079990434fab726a085cbb6c0c~tplv-resize:640:0.png,2023/1/5
启辰,109,纯电,启辰D60 EV,3351,,13.98-15.80万,暂无报价,13.98万,FALSE,暂无报价,3.46,http://p1-dcd.byteimg.com/img/motor-img/9defc15eb235673157d66da8cbba5273~tplv-resize:640:0.png,2023/1/5
创维汽车,368,纯电,创维EV6,5122,,14.68-25.28万,暂无报价,14.68万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/97b25724315a43ecaab93ae433fcaa03~tplv-resize:640:0.png,2023/1/5
捷尼赛思,273,纯电,捷尼赛思G80 EV,5054,,40.68-47.58万,暂无报价,40.68万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/09601703c9cf40998e20f611c594dd2e~tplv-resize:640:0.png,2023/1/5
江铃集团新能源,136,纯电,小麒麟,5898,,5.59-5.89万,暂无报价,5.59万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/tos-cn-i-0000c0030/a30b9c62ac0e4fc4a59fd3f6002a27cb~tplv-resize:640:0.png,2023/1/5
北京汽车,68,纯电,北京EU5,4074,纯电动销量NO.17,12.99-17.19万,暂无报价,12.99万,TRUE,12.99-17.19万,3.53,http://p9-dcd.byteimg.com/img/motor-img/fac9641308c9c3c9b23765bdcbdd6697~tplv-resize:640:0.png,2023/1/5
几何汽车,264,纯电,帝豪EV,735,,14.68-16.98万,暂无报价,14.68万,TRUE,14.68-16.98万,3.55,http://p1-dcd.byteimg.com/img/motor-img/0fd8b1fa3b9415afad38741c159dd3e5~tplv-resize:640:0.png,2023/1/5
现代,11,纯电,菲斯塔 纯电动,3759,,17.38-19.88万,17.38-19.88万,17.38万,TRUE,17.38-19.88万,3.65,http://p9-dcd.byteimg.com/img/motor-img/6def6668eda5c8d394c50bffbcb0c134~tplv-resize:640:0.png,2023/1/5
威马汽车,185,纯电,威马E.5,5152,,16.01-19.01万,暂无报价,16.01万,FALSE,暂无报价,3.75,http://p1-dcd.byteimg.com/img/motor-img/561fc274c90a455fb0c9c2d914345c47~tplv-resize:640:0.png,2023/1/5
五菱汽车,39,纯电,五菱荣光EV,4320,,13.58-13.91万,暂无报价,13.58万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/02f306472eacfa1680d3211f0d5ee5b1~tplv-resize:640:0.png,2023/1/5
小虎,429,纯电,小虎FEV,5014,微型轿车销量NO.20,4.09-5.59万,暂无报价,4.09万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/9265da77f9e501614776f2afe7afa78f~tplv-resize:640:0.png,2023/1/5
奥迪,2,纯电,奥迪e-tron Sportback(进口),4962,,66.98-72.98万,暂无报价,66.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/53b0d3710835177695ee94d1375228d1~tplv-resize:640:0.png,2023/1/5
飞凡汽车,401,纯电,飞凡MARVEL R,4529,,22.98-26.98万,22.00万,22.98万,TRUE,22.98-26.98万,3.74,http://p1-dcd.byteimg.com/img/motor-img/f32e8ee251a87005a4d0b6242cc5b278~tplv-resize:640:0.png,2023/1/5
上汽大通MAXUS,108,纯电,上汽大通MAXUS EUNIQ 5,3468,紧凑型MPV销量NO.15,17.68-21.28万,暂无报价,17.68万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/8da0b858ee54096f009be265dc14a11f~tplv-resize:640:0.png,2023/1/5
Polestar极星,196,纯电,Polestar 3,5356,,88.00-103.00万,暂无报价,88.00万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/71f73c68465f419db3755d42a906733b~tplv-resize:640:0.png,2023/1/5
荣威,36,纯电,荣威i6 MAX EV,4582,,14.68-18.18万,暂无报价,14.68万,TRUE,14.68-18.18万,0,http://p1-dcd.byteimg.com/img/motor-img/4a62b4c1ac07ae8e723dc417a5f06360~tplv-resize:640:0.png,2023/1/5
奇瑞新能源,461,纯电,大蚂蚁,4384,,18.38万,暂无报价,18.38万,FALSE,暂无报价,3.75,http://p1-dcd.byteimg.com/img/motor-img/db1039beb5b509e00edf8d706623e04d~tplv-resize:640:0.png,2023/1/5
奥迪,2,纯电,奥迪A6 e-tron,5086,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/c485b71c4ba64fa7a07508199847c426~tplv-resize:640:0.png,2023/1/5
威马汽车,185,纯电,威马EX5,1915,,16.08-17.98万,暂无报价,16.08万,FALSE,暂无报价,3.74,http://p1-dcd.byteimg.com/img/motor-img/674ada0515737833a6fa6ad2d2b8f748~tplv-resize:640:0.png,2023/1/5
威马汽车,185,纯电,威马W6,3398,,19.58-25.98万,暂无报价,19.58万,FALSE,暂无报价,3.85,http://p1-dcd.byteimg.com/img/motor-img/e4399ede36e1a5443d96e2dd7188cab8~tplv-resize:640:0.png,2023/1/5
思皓,235,纯电,思皓E50A,4649,新增车型,15.29-18.98万,13.99-16.49万,15.29万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/f5084aff3a76644c68e8bbabdd27976e~tplv-resize:640:0.png,2023/1/5
启辰,109,纯电,启辰e30,3452,,7.24-8.54万,7.00-8.00万,7.24万,TRUE,6.18-7.48万,0,http://p1-dcd.byteimg.com/img/motor-img/30a646d6e4aba66fe6d6309c9e4f498a~tplv-resize:640:0.png,2023/1/5
开云汽车,259,纯电,开云电皮卡,3163,,1.68-2.88万,暂无报价,1.68万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/811303390159be1543376e44c29ffb6a~tplv-resize:640:0.png,2023/1/5
丰田,5,纯电,奕泽E进擎,3339,,22.58-25.38万,暂无报价,22.58万,TRUE,22.58-25.38万,3.65,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/51374ea74dd348da89ff211b4f4e7574~tplv-resize:640:0.png,2023/1/5
岚图,395,纯电,岚图追光,6205,即将上市,暂无报价,32.29-43.29万,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/01b52e78b31f404fba6a7ba71f99de4d~tplv-resize:640:0.png,2023/1/5
云度,188,纯电,云度π1,1713,,7.48-7.98万,暂无报价,7.48万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/efda7177e4b645569d3b0fe4e226b92e~tplv-resize:640:0.png,2023/1/5
雷达汽车,514,纯电,雷达RD6,6020,,17.88-26.88万,18.00万,17.88万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/08d6e449e6f4402eae69d9585327b297~tplv-resize:640:0.png,2023/1/5
华梓汽车,469,纯电,欧麦加,6023,,4.98-5.98万,暂无报价,4.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/9dcf784446b0256e53df961364f55255~tplv-resize:640:0.png,2023/1/5
起亚,13,纯电,起亚K3 EV,4294,,22.98-23.98万,暂无报价,22.98万,TRUE,17.68-18.68万,3.57,http://p1-dcd.byteimg.com/img/motor-img/84eb314bb191ef1217b3dceb4b0a6db6~tplv-resize:640:0.png,2023/1/5
腾势,159,纯电,腾势X BEV,4305,,31.98-35.78万,暂无报价,31.98万,TRUE,31.98-35.78万,3.94,http://p3-dcd.byteimg.com/img/motor-img/3075c6e3fdaa9d8bd05946edcbda04cf~tplv-resize:640:0.png,2023/1/5
长城,8,纯电,炮EV,3469,,25.18-26.78万,暂无报价,25.18万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/motor-img/cd572fcae15d8f970e61c968f299aa11~tplv-resize:640:0.png,2023/1/5
现代,11,纯电,名图 纯电动,4758,,17.88-20.38万,暂无报价,17.88万,TRUE,17.88-20.38万,3.66,http://p1-dcd.byteimg.com/img/motor-img/b67b3eec8cfd60f7bff89c8e01f844a6~tplv-resize:640:0.png,2023/1/5
睿蓝汽车,381,纯电,枫叶30X,4488,,6.88-9.58万,6.88-7.98万,6.88万,TRUE,6.88-9.58万,3.32,http://p1-dcd.byteimg.com/img/motor-img/10ee0a7a5f264f45fd261eb0985a64ad~tplv-resize:640:0.png,2023/1/5
北汽制造,78,纯电,元宝,5788,微型轿车销量NO.11,4.19-5.19万,3.49-4.99万,4.19万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/f2a8d46ffd534d409d74121995a021cd~tplv-resize:640:0.png,2023/1/5
东风风行,70,纯电,菱智M5 EV,1793,中型MPV销量NO.7,14.99-17.39万,暂无报价,14.99万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/15d17f467e2b685be5487fe2fcad8df9~tplv-resize:640:0.png,2023/1/5
理念,111,纯电,广汽本田VE-1,3096,,15.98-18.68万,暂无报价,15.98万,FALSE,暂无报价,3.61,http://p1-dcd.byteimg.com/img/motor-img/6b45b76df3eac473edc4da19a10ce8d7~tplv-resize:640:0.png,2023/1/5
smart,48,纯电,smart精灵#3,6272,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-0000c0030/04fd7805571f49789481bbb20a03f7f1~tplv-resize:640:0.png,2023/1/5
五菱汽车,39,纯电,五菱EV80,5867,,21.30万,暂无报价,21.30万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/motor-img/5db14993198b1947b18f46818ffefc58~tplv-resize:640:0.png,2023/1/5
北汽制造,78,纯电,北汽豹,4394,,暂无报价,暂无报价,5.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/79e11500c18d923f40bcb7c961e7439e~tplv-resize:640:0.png,2023/1/5
北京汽车,68,纯电,北京EU7,3349,,15.99-17.59万,暂无报价,15.99万,TRUE,15.99-17.59万,3.71,http://p3-dcd.byteimg.com/img/motor-img/a89ebb93dfc879c3e9a1ed65c37a7388~tplv-resize:640:0.png,2023/1/5
华晨新日,413,纯电,华晨新日i03,4834,微型轿车销量NO.12,4.39-7.58万,暂无报价,4.39万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/6f94191738bca583a363b6a29c8a5c85~tplv-resize:640:0.png,2023/1/5
江铃集团新能源,136,纯电,羿,4858,,13.98-19.98万,14.00-17.00万,13.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/c53f4e31b5bc85aa0d8c14dec47cac09~tplv-resize:640:0.png,2023/1/5
捷途,209,纯电,捷途X70S EV,3353,,16.98-17.98万,暂无报价,16.98万,TRUE,16.98-17.98万,0,http://p1-dcd.byteimg.com/img/motor-img/f4e6e2fbaa0cecf457663534e094c6f1~tplv-resize:640:0.png,2023/1/5
橙仕,421,纯电,橙仕01,4919,,5.68-7.20万,暂无报价,5.68万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/7155d1c7661ddbff4740f709d9f86cfc~tplv-resize:640:0.png,2023/1/5
欧拉,238,纯电,欧拉朋克猫,5079,即将上市,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/1dade28ef80a11cf2af6d64bb7f58863~tplv-resize:640:0.png,2023/1/5
丰田,5,纯电,丰田bZ3,6126,即将上市,暂无报价,18.98-21.98万,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/ca9eabb07ab34d368a055397ae5f450d~tplv-resize:640:0.png,2023/1/5
上汽大通MAXUS,108,纯电,上汽大通MAXUS T90 EV,4821,,29.98万,暂无报价,29.98万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/08b128c2e655aed1c6a102cd44372c10~tplv-resize:640:0.png,2023/1/5
凌宝汽车,384,纯电,凌宝COCO,5032,,3.58-3.98万,暂无报价,3.58万,FALSE,暂无报价,0,http://p9-dcd.byteimg.com/img/motor-img/111284e8347160f59512ad08dab736a3~tplv-resize:640:0.png,2023/1/5
华梓汽车,469,纯电,华梓1号,5415,,2.98-4.98万,暂无报价,2.98万,TRUE,2.98-4.98万,0,http://p1-dcd.byteimg.com/img/motor-img/389b25454287181e264a8974d04780b5~tplv-resize:640:0.png,2023/1/5
思皓,235,纯电,思皓爱跑,5868,,14.69-17.69万,13.99-18.59万,14.69万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/076bc948f11dbcfec71b9f42df8a364d~tplv-resize:640:0.png,2023/1/5
东风风行,70,纯电,风行S50 EV,1810,,13.19-15.99万,暂无报价,13.19万,TRUE,13.19-15.99万,3.42,http://p1-dcd.byteimg.com/img/motor-img/7dc51c86c5c6d2541cadc95dcf4aa5d0~tplv-resize:640:0.png,2023/1/5
别克,12,纯电,别克E5,6271,,暂无报价,暂无报价,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/tos-cn-i-dcdx/c5817669114b43e6b3d506f93584ae35~tplv-resize:640:0.png,2023/1/5
凌宝汽车,384,纯电,凌宝Uni,5385,微型轿车销量NO.15,3.88-4.78万,暂无报价,3.88万,FALSE,暂无报价,0,http://p9-dcd.byteimg.com/img/motor-img/f0549e706e22b4bef069b9e470c55ff3~tplv-resize:640:0.png,2023/1/5
上汽大通MAXUS,108,纯电,上汽大通MAXUS EUNIQ 6,3464,,16.28-20.28万,暂无报价,16.28万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/eea0af8eaac3b4a0e837ec1c1833bd6d~tplv-resize:640:0.png,2023/1/5
爱驰,232,纯电,爱驰U5,2818,,17.99-19.99万,暂无报价,17.99万,TRUE,17.99-19.99万,3.66,http://p9-dcd.byteimg.com/img/tos-cn-i-0000c0030/10aa017bef284b42acedbda0712039ce~tplv-resize:640:0.png,2023/1/5
百智新能源,459,纯电,百智大熊,5334,,3.88-5.88万,2.78-3.38万,3.88万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/05eb24249b823a800141bae742dc6ff2~tplv-resize:640:0.png,2023/1/5
长安欧尚,119,纯电,长安欧尚科尚EV,4520,,16.68万,暂无报价,16.68万,FALSE,暂无报价,0,http://p3-dcd.byteimg.com/img/motor-img/c313a97054f0a29deacd89983a5be981~tplv-resize:640:0.png,2023/1/5
智己汽车,419,纯电,智己LS7,4869,即将上市,暂无报价,35.00-50.00万,暂无报价,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/117024387371af50e4c69ceef7e762f4~tplv-resize:640:0.png,2023/1/5
启辰,109,纯电,启辰T60 EV,3453,,16.38-18.18万,暂无报价,16.38万,TRUE,13.88-15.68万,0,http://p1-dcd.byteimg.com/img/motor-img/8580d3841feffe043c2ca57c2cf034c7~tplv-resize:640:0.png,2023/1/5
奔腾,27,纯电,奔腾E01,4278,,19.68-22.88万,暂无报价,19.68万,FALSE,暂无报价,3.71,http://p1-dcd.byteimg.com/img/motor-img/3775b0fd779b392934bda5da3e46864d~tplv-resize:640:0.png,2023/1/5
思皓,235,纯电,思皓E40X,4650,,14.95-15.95万,13.00-15.59万,14.95万,FALSE,暂无报价,3.69,http://p1-dcd.byteimg.com/img/motor-img/f2d48c789b8f43889b689066027fc781~tplv-resize:640:0.png,2023/1/5
DS,55,纯电,DS 3 EV,3383,,31.33-33.33万,暂无报价,31.33万,FALSE,暂无报价,0,http://p1-dcd.byteimg.com/img/motor-img/a1e11c23e112df16349895f8acdfbaf4~tplv-resize:640:0.png,2023/1/5
江铃集团新能源,136,纯电,易至EV3小雷达,3028,微型轿车销量NO.17,7.98-8.48万,暂无报价,7.98万,TRUE,7.98-8.48万,0,http://p3-dcd.byteimg.com/img/motor-img/486c35ff335c82c459a433101236db5d~tplv-resize:640:0.png,2023/1/5
